candidate_id,rank,score,reasoning
CAND_0077337,1,0.824517,"Staff Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including semantic search, pgvector, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0081846,2,0.822352,"Lead AI Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including information retrieval, pgvector, learning to rank; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0071974,3,0.800564,"Senior AI Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including learning to rank, weaviate, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0018499,4,0.798823,"Senior Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including weaviate, recommendation systems, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0008425,5,0.784369,"Senior NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including learning to rank, qdrant, pgvector; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0036184,6,0.767747,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, hugging face transformers, semantic search; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0070398,7,0.759880,"Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including faiss, embeddings, pytorch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0005260,8,0.758599,"Senior NLP Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including information retrieval, semantic search, python; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0066376,9,0.758012,"Applied ML Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including recommendation systems, learning to rank, information retrieval; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0083307,10,0.757885,"Search Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including embeddings, pinecone, weaviate; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0044855,11,0.752961,"Senior Data Scientist (7 yrs) with 7-year career in AI/ML roles; relevant skills including learning to rank, hugging face transformers, opensearch; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0041610,12,0.749988,"Recommendation Systems Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including elasticsearch, opensearch, learning to rank; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0030827,13,0.748692,"Senior Data Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including hugging face transformers, recommendation systems, faiss; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0055905,14,0.744745,"Senior Machine Learning Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including elasticsearch, hugging face transformers, python; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0051630,15,0.741044,"Machine Learning Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including elasticsearch, hugging face transformers, embeddings; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0086022,16,0.739649,"Senior Applied Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including recommendation systems, pgvector, elasticsearch; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0086151,17,0.736439,"Recommendation Systems Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including recommendation systems, qdrant, opensearch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0081686,18,0.734550,"Search Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including embeddings, faiss, milvus; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0096172,19,0.726633,"NLP Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including opensearch, elasticsearch, semantic search; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0029367,20,0.722656,"Senior Data Scientist (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, sentence transformers, pytorch; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0001610,21,0.722555,"Machine Learning Engineer (3 yrs) with 3-year career in AI/ML roles; relevant skills including pinecone, milvus, sentence transformers; meaningful product-company exposure. Concerns: below JD experience range (3.0 years)."
CAND_0002025,22,0.722515,"Senior AI Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, opensearch, weaviate; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0011162,23,0.717077,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, milvus, opensearch; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0043228,24,0.716107,"Applied ML Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including hugging face transformers, sentence transformers, weaviate; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0069905,25,0.715725,"Applied ML Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including recommendation systems, sentence transformers, hugging face transformers; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0020877,26,0.715352,"Applied ML Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including elasticsearch, pytorch, opensearch; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0062247,27,0.715265,"AI Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including pinecone, qdrant, hugging face transformers; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0077285,28,0.714784,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including pinecone, sentence transformers, embeddings; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0060054,29,0.714164,"AI Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including weaviate, faiss, elasticsearch; meaningful product-company exposure. Concerns: inactive for 94 days (availability risk)."
CAND_0042506,30,0.712903,"Search Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including semantic search, information retrieval, milvus; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0005649,31,0.709950,"Senior Data Scientist (7 yrs) with 7-year career in AI/ML roles; relevant skills including recommendation systems, semantic search, weaviate; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0088025,32,0.709104,"Staff Machine Learning Engineer (9 yrs) with 9-year career in AI/ML roles; relevant skills including pinecone, hugging face transformers, elasticsearch; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0099806,33,0.707812,"AI Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including pgvector, faiss, embeddings; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0039383,34,0.707536,"Applied ML Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including faiss, recommendation systems, hugging face transformers; meaningful product-company exposure. Concerns: inactive for 92 days (availability risk)."
CAND_0079387,35,0.707353,"AI Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including recommendation systems, python, sentence transformers; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0064904,36,0.706537,"AI Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including embeddings, hugging face transformers, elasticsearch; meaningful product-company exposure. Concerns: inactive for 94 days (availability risk)."
CAND_0046064,37,0.706446,"Senior NLP Engineer (9 yrs) with 9-year career in AI/ML roles; relevant skills including python, pinecone, opensearch; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0084819,38,0.706402,"Search Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including semantic search, opensearch, recommendation systems; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0076251,39,0.705564,"Search Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including hugging face transformers, weaviate, learning to rank; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0006557,40,0.702009,"NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including elasticsearch, opensearch, weaviate; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0087630,41,0.701924,"AI Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including elasticsearch, pgvector, learning to rank; meaningful product-company exposure. Concerns: inactive for 95 days (availability risk)."
CAND_0095528,42,0.700770,"Senior Data Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including opensearch, pytorch, semantic search; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0061265,43,0.700703,"Recommendation Systems Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including qdrant, learning to rank, hugging face transformers; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0068811,44,0.700584,"Applied ML Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including qdrant, embeddings, pgvector; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0054123,45,0.700216,"Applied ML Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including pgvector, python, weaviate; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0028793,46,0.698375,"Search Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including embeddings, learning to rank, information retrieval; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0000031,47,0.697395,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, pinecone, embeddings; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0074225,48,0.697072,"Machine Learning Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including recommendation systems, semantic search, elasticsearch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0039754,49,0.696931,"Senior Applied Scientist (16 yrs) with 16-year career in AI/ML roles; relevant skills including qdrant, opensearch, weaviate; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0041669,50,0.696886,"Recommendation Systems Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including faiss, milvus, semantic search; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0093912,51,0.696704,"Senior Data Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including milvus, embeddings, recommendation systems; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0076163,52,0.695242,"NLP Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including weaviate, semantic search, pytorch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0027691,53,0.693647,"NLP Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including recommendation systems, weaviate, embeddings; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0010257,54,0.692619,"Senior Data Scientist (6 yrs) with 6-year career in AI/ML roles; relevant skills including milvus, python, opensearch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0076904,55,0.690631,"Senior Data Scientist (4 yrs) with 4-year career in AI/ML roles; relevant skills including recommendation systems, information retrieval, opensearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0006418,56,0.690320,"Machine Learning Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including semantic search, embeddings, weaviate; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0042100,57,0.690277,"Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including elasticsearch, learning to rank, recommendation systems; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0050876,58,0.690088,"Applied ML Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including qdrant, faiss, opensearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0033861,59,0.689165,"Senior NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including weaviate, elasticsearch, pinecone; meaningful product-company exposure. Concerns: inactive for 123 days (availability risk); very low recruiter response rate (16%)."
CAND_0060072,60,0.688358,"Staff Machine Learning Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including sentence transformers, pytorch, milvus; meaningful product-company exposure. Concerns: inactive for 146 days (availability risk); very low recruiter response rate (10%)."
CAND_0053591,61,0.687799,"AI Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including embeddings, milvus, opensearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0075439,62,0.687607,"Machine Learning Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including learning to rank, elasticsearch, opensearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0070202,63,0.685808,"Machine Learning Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including embeddings, qdrant, learning to rank; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0095619,64,0.685674,"NLP Engineer (16 yrs) with 16-year career in AI/ML roles; relevant skills including pinecone, learning to rank, hugging face transformers; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0042029,65,0.684443,"Senior Data Scientist (6 yrs) with 6-year career in AI/ML roles; relevant skills including pytorch, elasticsearch, embeddings; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0037000,66,0.680371,"Search Engineer (3 yrs) with 3-year career in AI/ML roles; relevant skills including embeddings, semantic search, hugging face transformers; meaningful product-company exposure. Concerns: below JD experience range (2.7 years)."
CAND_0030953,67,0.679785,"Search Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including learning to rank, qdrant, python; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0091909,68,0.678631,"Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including pinecone, qdrant, opensearch; strong production deployment evidence in career history. Concerns: inactive for 93 days (availability risk)."
CAND_0030348,69,0.677255,"Machine Learning Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including pytorch, embeddings, elasticsearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0058575,70,0.677224,"AI Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including recommendation systems, pinecone, pytorch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0065195,71,0.675857,"Search Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including elasticsearch, hugging face transformers, qdrant; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0018549,72,0.675621,"Recommendation Systems Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including weaviate, elasticsearch, qdrant; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0072660,73,0.675193,"Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including pgvector, pytorch, information retrieval; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0049538,74,0.674058,"Applied ML Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including learning to rank, opensearch, milvus; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0052328,75,0.673855,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including opensearch, recommendation systems, learning to rank; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0041568,76,0.673432,"Search Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including weaviate, semantic search, recommendation systems; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0037944,77,0.672249,"Senior Data Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including opensearch, embeddings, python; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0094759,78,0.672226,"Lead AI Engineer (9 yrs) with 9-year career in AI/ML roles; relevant skills including hugging face transformers, learning to rank, semantic search; strong production deployment evidence in career history. Concerns: inactive for 162 days (availability risk); very low recruiter response rate (11%)."
CAND_0055992,79,0.671032,"AI Engineer (17 yrs) with 17-year career in AI/ML roles; relevant skills including information retrieval, faiss, opensearch; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0007412,80,0.670574,"Applied ML Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including pinecone, milvus, pytorch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0089552,81,0.670127,"Machine Learning Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including weaviate, qdrant, semantic search; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0030031,82,0.669718,"AI Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including information retrieval, pytorch, python; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0040887,83,0.669380,"Machine Learning Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including faiss, python, milvus; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0030468,84,0.669157,"Senior Applied Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including information retrieval systems, ranking systems, opensearch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0026532,85,0.668587,"Recommendation Systems Engineer (5 yrs) with relevant skills including pgvector, embeddings, semantic search; meaningful product-company exposure; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0018722,86,0.667978,"Recommendation Systems Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including weaviate, python, recommendation systems; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0064270,87,0.667728,"Applied ML Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including pytorch, learning to rank, sentence transformers; strong production deployment evidence in career history. Concerns: inactive for 91 days (availability risk)."
CAND_0064326,88,0.667221,"Search Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including pytorch, milvus, semantic search; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0081053,89,0.667135,"NLP Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including qdrant, learning to rank, pgvector; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0093547,90,0.666366,"Senior Machine Learning Engineer (3 yrs) with 3-year career in AI/ML roles; relevant skills including python, pytorch, milvus; strong production deployment evidence in career history. Concerns: below JD experience range (2.9 years)."
CAND_0075574,91,0.664438,"Machine Learning Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including hugging face transformers, pgvector, weaviate; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0010685,92,0.664154,"NLP Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including pytorch, information retrieval, elasticsearch; meaningful product-company exposure. Concerns: inactive for 95 days (availability risk)."
CAND_0027801,93,0.663969,"NLP Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including faiss, milvus, opensearch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0017960,94,0.663437,"Recommendation Systems Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including hugging face transformers, qdrant, python; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0006567,95,0.663285,"Senior AI Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including python, ranking systems, recommendation systems; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0011687,96,0.662950,"Senior NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including opensearch, faiss, embeddings; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0053695,97,0.662772,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including pinecone, recommendation systems, pgvector; strong production deployment evidence in career history. Partial fit; some JD requirements met but gaps remain."
CAND_0009024,98,0.661346,"Search Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including qdrant, faiss, pytorch; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0056881,99,0.661329,"Machine Learning Engineer (4 yrs) with 4-year career in AI/ML roles; relevant skills including elasticsearch, hugging face transformers, information retrieval; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
CAND_0099401,100,0.660553,"NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including embeddings, qdrant, information retrieval; meaningful product-company exposure. Partial fit; some JD requirements met but gaps remain."
